step,loss,ema
201,5.0139,5.2660
401,3.1681,3.4245
601,2.7807,3.0608
801,3.1064,3.3003
1001,2.2194,2.3363
1201,2.8427,2.6684
1401,6.0691,3.8519
1601,4.7512,5.0938
1801,4.5744,4.7805
2001,4.4288,4.4721
2201,4.2664,4.4502
2401,4.2131,4.0894
2601,4.3319,3.9915
2801,5.3169,4.2579
3001,4.6923,4.7124
3201,4.3197,4.4816
3401,3.4431,4.0725
3601,4.3698,4.0864
3801,2.7815,3.0170
4001,2.9393,2.7568
4201,4.0975,3.0137
4401,2.3685,2.1802
4601,2.3543,2.5185
4801,4.7912,2.0871
5001,4.6332,4.6175
5201,4.6642,4.4420
5401,4.2377,4.2764
5601,4.0497,4.2559
5801,3.7717,3.8699
6001,3.8055,3.7910
6201,3.8269,3.7651
6401,4.1717,4.3189
6601,4.2294,4.1426
6801,4.0416,4.0702
7001,4.0127,3.9589
7201,2.7954,3.0287
7401,2.5748,2.5605
7601,3.1451,2.7693
7801,1.8785,2.1699
8001,2.5429,2.4869
8201,2.2831,2.0163
8401,4.8024,4.4034
8601,4.1184,4.3030
8801,3.8552,4.2246
9001,4.2210,4.2474
9201,3.6641,3.8117
9401,3.6758,3.7115
9601,3.5345,3.6828
9801,4.2050,4.0861
10001,3.5646,3.9370
10201,3.8118,4.0992
10401,4.1144,3.9448
10601,2.8269,3.0454
10801,2.7200,2.5416
11001,2.9911,2.4987
11201,1.9723,2.3418
11401,2.5597,2.4696
11601,2.0325,2.0056
11801,3.9917,4.3084
12001,4.1281,4.2985
12201,3.9605,4.2279
12401,3.9759,4.2171
12601,3.8668,3.8183
12801,3.8091,3.6733
13001,3.6823,3.6408
13201,3.5079,3.7072
13401,3.7126,3.7629
13601,3.7949,3.9271
13801,3.7688,3.8276
14001,2.9683,2.9980
14201,2.3030,2.3911
14401,2.5252,2.4370
14601,2.1007,2.4587
14801,2.5443,2.2081
15001,1.8647,1.9074
15201,4.1914,4.1576
15401,4.0138,4.1634
15601,3.8765,4.0448
15801,4.5313,4.0186
16001,3.6919,3.6874
16201,3.3939,3.5363
16401,3.5770,3.5507
16601,3.5988,3.6524
16801,2.8951,3.6380
17001,3.4374,3.8115
17201,3.5808,3.7653
17401,2.4069,3.2129
17601,2.2392,2.4431
17801,2.7029,2.2474
18001,2.4450,2.5776
18201,2.7354,2.0370
18401,1.8561,1.9632
18601,4.4101,3.9804
18801,3.9838,4.1091
19001,3.8657,3.9978
19201,3.7223,3.8260
19401,3.5155,3.6287
19601,3.4874,3.5158
19801,4.0779,3.5245
20001,3.3932,3.6775
20201,3.4646,3.6435
20401,3.6451,3.6706
20601,4.0117,3.6562
20801,2.7716,3.4511
21001,2.7188,2.3263
21201,2.0168,2.1700
21401,2.5560,2.5544
21601,1.7734,1.7898
21801,2.1774,2.0409
22001,4.1531,3.7003
22201,4.0052,4.0756
22401,3.7514,3.9752
22601,3.5331,3.8491
22801,3.5608,3.6306
23001,3.4721,3.5067
23201,3.4094,3.4522
23401,4.0032,3.7141
23601,3.2231,3.6599
23801,3.6747,3.6831
24001,3.9545,3.3477
24201,3.3925,3.6489
24401,2.0451,2.1543
24601,2.1551,2.0454
24801,2.7896,2.3748
25001,1.9271,1.6945
25201,1.8144,1.9801
25401,3.6098,3.1700
25601,3.8559,3.9720
25801,3.5430,3.8705
26001,3.7665,3.6982
26201,3.3408,3.5994
26401,3.6265,3.4300
26601,3.1533,3.3607
26801,3.7690,3.4791
27001,3.1787,3.4478
27201,3.4944,3.4885
27401,2.7796,3.1205
27601,3.6279,3.5645
27801,1.8660,2.2264
28001,2.2393,2.1173
