step,ema
201,5.3672
1001,2.5203
1801,4.7784
2601,4.2553
3401,4.3011
4201,3.3100
5001,4.8316
5801,4.3257
6601,4.5567
7401,3.2193
8201,2.9185
9001,5.5481
9801,5.6207
10601,4.5914
11401,4.0246
12201,5.7256
13001,5.3542
13801,5.6277
14601,4.4214
15401,6.9750
16201,6.5002
17001,7.4443
17801,4.9519
18601,7.2681
19401,7.3373
20201,8.0954
21001,5.4630
21801,5.0624
22601,7.7258
23401,7.5674
24201,6.7414
25001,4.5230
25801,7.4557
26601,6.3793
27401,6.2547
28201,4.8718
29001,6.5831
29801,6.1483
30601,6.8644
31401,4.6222
